0, 7, 317, 277, 0
43, 6, 130, 90, 0
86, 3, 231, 191, 0
129, 3, 191, 151, 0
172, 8, 439, 399, 0
215, 3, 151, 111, 0
258, 8, 399, 359, 0
301, 9, 942, 902, 0
344, 3, 111, 71, 0
387, 9, 902, 862, 0
430, 4, 337, 297, 0
473, 6, 90, 50, 0
516, 5, 222, 182, 0
559, 6, 50, 10, 0
602, 4, 297, 257, 0
645, 7, 277, 237, 0
688, 2, 488, 448, 0
731, 2, 448, 408, 0
774, 6, 10, 0, 784
1601, 3, 71, 31, 0
1644, 7, 237, 197, 0
1687, 7, 197, 157, 0
1730, 3, 31, 0, 1761
3534, 9, 862, 822, 0
3577, 8, 359, 319, 0
3620, 7, 157, 117, 0
3663, 9, 822, 782, 0
3706, 4, 257, 217, 0
3749, 7, 117, 77, 0
3792, 2, 408, 368, 0
3835, 9, 782, 742, 0
3878, 2, 368, 328, 0
3921, 8, 319, 279, 0
3964, 7, 77, 37, 0
4007, 7, 37, 0, 4044
8094, 4, 217, 177, 0
8137, 2, 328, 288, 0
8180, 2, 288, 248, 0
8223, 4, 177, 137, 0
8266, 4, 137, 97, 0
8309, 4, 97, 57, 0
8352, 8, 279, 239, 0
8395, 2, 248, 208, 0
8438, 5, 182, 142, 0
8481, 4, 57, 17, 0
8524, 8, 239, 199, 0
8567, 9, 742, 702, 0
8610, 4, 17, 0, 8627
17280, 8, 199, 159, 0
17323, 2, 208, 168, 0
17366, 2, 168, 128, 0
17409, 8, 159, 119, 0
17452, 8, 119, 79, 0
17495, 5, 142, 102, 0
17538, 2, 128, 88, 0
17581, 8, 79, 39, 0
17624, 8, 39, 0, 17663
35330, 9, 702, 662, 0
35373, 9, 662, 622, 0
35416, 9, 622, 582, 0
35459, 5, 102, 62, 0
35502, 2, 88, 48, 0
35545, 2, 48, 8, 0
35588, 1, 624, 584, 0
35631, 9, 582, 542, 0
35674, 1, 584, 544, 0
35717, 5, 62, 22, 0
35760, 5, 22, 0, 35782
71585, 2, 8, 0, 71593
143221, 9, 542, 502, 0
143264, 9, 502, 462, 0
143307, 9, 462, 422, 0
143350, 9, 422, 382, 0
143393, 9, 382, 342, 0
143436, 9, 342, 302, 0
143479, 1, 544, 504, 0
143522, 1, 504, 464, 0
143565, 1, 464, 424, 0
143608, 9, 302, 262, 0
143651, 9, 262, 222, 0
143694, 9, 222, 182, 0
143737, 9, 182, 142, 0
143780, 1, 424, 384, 0
143823, 9, 142, 102, 0
143866, 9, 102, 62, 0
143909, 9, 62, 22, 0
143952, 9, 22, 0, 143974
287969, 1, 384, 344, 0
288012, 1, 344, 304, 0
288055, 1, 304, 264, 0
288098, 1, 264, 224, 0
288141, 1, 224, 184, 0
288184, 1, 184, 144, 0
288227, 1, 144, 104, 0
288270, 1, 104, 64, 0
288313, 1, 64, 24, 0
288356, 1, 24, 0, 288380

Average TAT: 63623.0
