0, 1, 624, 584, 0
43, 2, 488, 448, 0
86, 3, 231, 191, 0
129, 4, 337, 297, 0
172, 5, 222, 182, 0
215, 6, 130, 90, 0
258, 7, 317, 277, 0
301, 8, 439, 399, 0
344, 9, 942, 902, 0
387, 1, 584, 544, 0
430, 2, 448, 408, 0
473, 3, 191, 151, 0
516, 4, 297, 257, 0
559, 5, 182, 142, 0
602, 6, 90, 50, 0
645, 7, 277, 237, 0
688, 8, 399, 359, 0
731, 9, 902, 862, 0
774, 1, 544, 504, 0
817, 2, 408, 368, 0
860, 3, 151, 111, 0
903, 4, 257, 217, 0
946, 5, 142, 102, 0
989, 6, 50, 10, 0
1032, 7, 237, 197, 0
1075, 8, 359, 319, 0
1118, 9, 862, 822, 0
1161, 1, 504, 464, 0
1204, 2, 368, 328, 0
1247, 3, 111, 71, 0
1290, 4, 217, 177, 0
1333, 5, 102, 62, 0
1376, 6, 10, 0, 1386
1376, 7, 197, 157, 0
1419, 8, 319, 279, 0
1462, 9, 822, 782, 0
1505, 1, 464, 424, 0
1548, 2, 328, 288, 0
1591, 3, 71, 31, 0
1634, 4, 177, 137, 0
1677, 5, 62, 22, 0
1720, 7, 157, 117, 0
1763, 8, 279, 239, 0
1806, 9, 782, 742, 0
1849, 1, 424, 384, 0
1892, 2, 288, 248, 0
1935, 3, 31, 0, 1966
1935, 4, 137, 97, 0
1978, 5, 22, 0, 2000
1978, 7, 117, 77, 0
2021, 8, 239, 199, 0
2064, 9, 742, 702, 0
2107, 1, 384, 344, 0
2150, 2, 248, 208, 0
2193, 3, 31, 0, 2224
2193, 4, 97, 57, 0
2236, 7, 77, 37, 0
2279, 8, 199, 159, 0
2322, 9, 702, 662, 0
2365, 1, 344, 304, 0
2408, 2, 208, 168, 0
2451, 4, 57, 17, 0
2494, 7, 37, 0, 2531
2494, 8, 159, 119, 0
2537, 9, 662, 622, 0
2580, 1, 304, 264, 0
2623, 2, 168, 128, 0
2666, 4, 17, 0, 2683
2666, 8, 119, 79, 0
2709, 9, 622, 582, 0
2752, 1, 264, 224, 0
2795, 2, 128, 88, 0
2838, 8, 79, 39, 0
2881, 9, 582, 542, 0
2924, 1, 224, 184, 0
2967, 2, 88, 48, 0
3010, 8, 39, 0, 3049
3010, 9, 542, 502, 0
3053, 1, 184, 144, 0
3096, 2, 48, 8, 0
3139, 9, 502, 462, 0
3182, 1, 144, 104, 0
3225, 2, 8, 0, 3233
3225, 9, 462, 422, 0
3268, 1, 104, 64, 0
3311, 9, 422, 382, 0
3354, 1, 64, 24, 0
3397, 9, 382, 342, 0
3440, 1, 24, 0, 3464
3440, 9, 342, 302, 0
3483, 9, 302, 262, 0
3526, 9, 262, 222, 0
3569, 9, 222, 182, 0
3612, 9, 182, 142, 0
3655, 9, 142, 102, 0
3698, 9, 102, 62, 0
3741, 9, 62, 22, 0
3784, 9, 22, 0, 3806

Average TAT: 2927.0
