0, 6, 130, 0, 130
0, 6, 130, 0, 130
0, 6, 130, 0, 130
0, 6, 130, 0, 130
0, 6, 130, 0, 130
133, 5, 222, 0, 355
133, 5, 222, 0, 355
133, 5, 222, 0, 355
133, 5, 222, 0, 355
133, 5, 222, 0, 355
358, 3, 231, 0, 589
358, 3, 231, 0, 589
358, 3, 231, 0, 589
358, 3, 231, 0, 589
358, 3, 231, 0, 589
592, 7, 317, 0, 909
592, 7, 317, 0, 909
592, 7, 317, 0, 909
592, 7, 317, 0, 909
592, 7, 317, 0, 909
912, 4, 337, 0, 1249
912, 4, 337, 0, 1249
912, 4, 337, 0, 1249
912, 4, 337, 0, 1249
912, 4, 337, 0, 1249
1252, 8, 439, 0, 1691
1252, 8, 439, 0, 1691
1252, 8, 439, 0, 1691
1252, 8, 439, 0, 1691
1252, 8, 439, 0, 1691
1694, 2, 488, 0, 2182
1694, 2, 488, 0, 2182
1694, 2, 488, 0, 2182
1694, 2, 488, 0, 2182
1694, 2, 488, 0, 2182
2185, 1, 624, 0, 2809
2185, 1, 624, 0, 2809
2185, 1, 624, 0, 2809
2185, 1, 624, 0, 2809
2185, 1, 624, 0, 2809
2812, 9, 942, 0, 3754
2812, 9, 942, 0, 3754
2812, 9, 942, 0, 3754
2812, 9, 942, 0, 3754
2812, 9, 942, 0, 3754

Average TAT: 1519.0
